date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:36:23	61003/61003	---M--	200	added ('OK')	application/javascript	date:Wed,%2030%20May%202018%2010:44:25%20GMT	http://pluginspoint.com/demo/i-finger-preview/05_film-town/js/amplitude.js	C:/My%20Web%20Sites/Coba%20COba/pluginspoint.com/demo/i-finger-preview/05_film-town/js/amplitude.js	(from http://pluginspoint.com/demo/i-finger-preview/05_film-town/index.html)
22:36:23	18777/18777	---M--	200	added ('OK')	application/javascript	date:Wed,%2030%20May%202018%2010:44:34%20GMT	http://pluginspoint.com/demo/i-finger-preview/05_film-town/js/jquery.slimscroll.min.js	C:/My%20Web%20Sites/Coba%20COba/pluginspoint.com/demo/i-finger-preview/05_film-town/js/jquery.slimscroll.min.js	(from http://pluginspoint.com/demo/i-finger-preview/05_film-town/index.html)
22:36:25	43043/43043	---M--	200	added ('OK')	application/javascript	date:Wed,%2030%20May%202018%2010:44:37%20GMT	http://pluginspoint.com/demo/i-finger-preview/05_film-town/js/plyr.js	C:/My%20Web%20Sites/Coba%20COba/pluginspoint.com/demo/i-finger-preview/05_film-town/js/plyr.js	(from http://pluginspoint.com/demo/i-finger-preview/05_film-town/index.html)
22:36:25	8415/8415	---M--	200	added ('OK')	application/javascript	date:Wed,%2030%20May%202018%2010:44:33%20GMT	http://pluginspoint.com/demo/i-finger-preview/05_film-town/js/jquery.slicknav.min.js	C:/My%20Web%20Sites/Coba%20COba/pluginspoint.com/demo/i-finger-preview/05_film-town/js/jquery.slicknav.min.js	(from http://pluginspoint.com/demo/i-finger-preview/05_film-town/index.html)
22:36:27	20216/20216	---M--	200	added ('OK')	application/javascript	date:Wed,%2030%20May%202018%2010:44:31%20GMT	http://pluginspoint.com/demo/i-finger-preview/05_film-town/js/jquery.magnific-popup.min.js	C:/My%20Web%20Sites/Coba%20COba/pluginspoint.com/demo/i-finger-preview/05_film-town/js/jquery.magnific-popup.min.js	(from http://pluginspoint.com/demo/i-finger-preview/05_film-town/index.html)
22:36:27	5338/5338	---M--	200	added ('OK')	application/javascript	date:Wed,%2030%20May%202018%2010:44:32%20GMT	http://pluginspoint.com/demo/i-finger-preview/05_film-town/js/jquery.scrollUp.js	C:/My%20Web%20Sites/Coba%20COba/pluginspoint.com/demo/i-finger-preview/05_film-town/js/jquery.scrollUp.js	(from http://pluginspoint.com/demo/i-finger-preview/05_film-town/index.html)
22:36:29	9028/9028	---M--	200	added ('OK')	application/javascript	date:Wed,%2030%20May%202018%2010:44:34%20GMT	http://pluginspoint.com/demo/i-finger-preview/05_film-town/js/jquery.waypoints.min.js	C:/My%20Web%20Sites/Coba%20COba/pluginspoint.com/demo/i-finger-preview/05_film-town/js/jquery.waypoints.min.js	(from http://pluginspoint.com/demo/i-finger-preview/05_film-town/index.html)
22:36:30	28935/28935	---M--	200	added ('OK')	application/javascript	date:Wed,%2030%20May%202018%2010:44:32%20GMT	http://pluginspoint.com/demo/i-finger-preview/05_film-town/js/jquery.mixitup.min.js	C:/My%20Web%20Sites/Coba%20COba/pluginspoint.com/demo/i-finger-preview/05_film-town/js/jquery.mixitup.min.js	(from http://pluginspoint.com/demo/i-finger-preview/05_film-town/index.html)
22:36:31	19032/19032	---M--	200	added ('OK')	application/javascript	date:Wed,%2030%20May%202018%2010:44:38%20GMT	http://pluginspoint.com/demo/i-finger-preview/05_film-town/js/popper.min.js	C:/My%20Web%20Sites/Coba%20COba/pluginspoint.com/demo/i-finger-preview/05_film-town/js/popper.min.js	(from http://pluginspoint.com/demo/i-finger-preview/05_film-town/index.html)
22:36:33	14924/14924	---M--	200	added ('OK')	application/javascript	date:Wed,%2030%20May%202018%2010:44:38%20GMT	http://pluginspoint.com/demo/i-finger-preview/05_film-town/js/theme.js	C:/My%20Web%20Sites/Coba%20COba/pluginspoint.com/demo/i-finger-preview/05_film-town/js/theme.js	(from http://pluginspoint.com/demo/i-finger-preview/05_film-town/index.html)
